Country, Population,
Thailand,,
Japan,,
Singapore,,
Nepal,,
Malaysia,,
Canada,37 590 000,
Australia,,
Cambodia,,
Sri Lanka,21 440 000,
Germany,,
Finland,,
United Arab Emirates,,
Philippines,,
India,,
Italy,60 000 000,
Sweden,,
Spain,,
Belgium,,
Egypt,,
Lebanon,,
Iraq,,
Oman,,
Afghanistan,,
Bahrain,,
Kuwait,,
Algeria,,
Croatia,,
Switzerland,,
Austria,,
Israel,,
Pakistan,,
Brazil,,
Georgia,,
Greece,,
North Macedonia,,
Norway,,
Romania,,
Estonia,,
Netherlands,,
San Marino,,
Belarus,,
Iceland,,
Lithuania,,
Mexico,,
New Zealand,,
Nigeria,,
Ireland,,
Luxembourg,,
Monaco,,
Qatar,,
Ecuador,,
Azerbaijan,,
Armenia,,
Dominican Republic,,
Indonesia,,
Portugal,,
Andorra,,
Latvia,,
Morocco,,
Saudi Arabia,,
Senegal,,
Argentina,,
Chile,,
Jordan,,
Ukraine,,
Hungary,,
Liechtenstein,,
Poland,,
Tunisia,,
Bosnia and Herzegovina,,
Slovenia,,
South Africa,,
Bhutan,,
Cameroon,,
Colombia,,
Costa Rica,,
Peru,,
Serbia,,
Slovakia,,
Togo,,
Malta,,
Martinique,,
Bulgaria,,
Maldives,,
Bangladesh,,
Paraguay,,
Albania,,
Cyprus,,
Brunei,,
US,327 200 000,
Burkina Faso,,
Holy See,,
Mongolia,,
Panama,,
China,,
Iran,,
"Korea, South",51 470 000,
France,,
Cruise Ship,,
Denmark,,
Czechia,,
Taiwan*,,
Vietnam,,
Russia,,
Moldova,,
Bolivia,,
Honduras,,
United Kingdom,,
Congo (Kinshasa),,
Cote d'Ivoire,,
Jamaica,,
Reunion,,
Turkey,,
Cuba,,
Guyana,,
Kazakhstan,,
Cayman Islands,,
Guadeloupe,,
Ethiopia,,
Sudan,,
Guinea,,
Aruba,,
Kenya,,
Antigua and Barbuda,,
Uruguay,,
Ghana,,
Jersey,,
Namibia,,
Seychelles,,
Trinidad and Tobago,,
Venezuela,,
Curacao,,
Eswatini,,
Gabon,,
Guatemala,,
Guernsey,,
Mauritania,,
Rwanda,,
Saint Lucia,,
Saint Vincent and the Grenadines,,
Suriname,,
occupied Palestinian territory,,
Kosovo,,
Central African Republic,,
Congo (Brazzaville),,
Equatorial Guinea,,
Uzbekistan,,
